user_id,all_sum,all_mean,all_std,all_count,all_max,all_min,last3m_sum,last3m_mean,last3m_std,last3m_count,last3m_max,last3m_min,last1m_sum,last1m_mean,last1m_std,last1m_count,last1m_max,last1m_min,active_days,avg_gap_days,max_gap_days,days_since_last,income_share,income_days,outcome_days,has_gap_30d,weekend_ratio,activity_trend_sep_nov,churn
5,-12193.8,-80.22236842105262,10773.88414263092,152,99749.0,-47437.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,1.016423994358597,18.427476851851853,180,0.14473684210526316,20.0,54.0,0,0.19736842105263158,0.0,1
6,-16127.400000000001,-217.93783783783786,6129.212425008408,74,21598.0,-19385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,2.0160143962455606,14.391319444444445,186,0.17567567567567569,13.0,41.0,0,0.28378378378378377,0.0,0
36,-6116.600000000001,-66.48478260869567,3245.1785560835915,92,17010.6,-13142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,1.6860209350834352,13.369004629629629,179,0.15217391304347827,14.0,52.0,0,0.18478260869565216,0.0,0
50,-7035.700000000001,-201.02,2646.959147976943,35,6000.0,-9571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.4789045479302834,21.439328703703705,216,0.22857142857142856,6.0,12.0,0,0.2571428571428571,0.0,1
63,48110.30000000001,223.76883720930238,10563.613500424974,215,81156.6,-38668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,0.7425606286777432,7.682615740740741,175,0.12558139534883722,23.0,101.0,0,0.2930232558139535,0.0,0
103,-16865.3,-281.0883333333333,495.2611083608345,60,213.0,-3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,2.6171116044323015,21.924965277777776,174,0.14516129032258066,9.0,34.0,0,0.27419354838709675,0.0,0
144,212945.4,1703.5632,10739.114463339114,125,61885.0,-31995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,1.2605383811230584,16.599849537037038,177,0.224,27.0,50.0,0,0.216,0.0,0
174,1063.0999999999997,34.29354838709676,1605.6593511567107,31,5700.0,-4559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5.114171296296296,26.639050925925925,177,0.3225806451612903,10.0,17.0,0,0.41935483870967744,0.0,0
248,-48078.50000000007,-593.5617283950626,173762.73891592422,81,572600.0,-312569.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,1.9239283264746228,30.340833333333332,177,0.17073170731707318,12.0,41.0,0,0.24390243902439024,0.0,1
295,120535.8,5240.686956521739,19358.67982947899,23,69259.0,-39800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6.988952020202021,25.668460648148148,181,0.5217391304347826,12.0,9.0,0,0.34782608695652173,0.0,1
